injected_x,injected_y,detected_x,detected_y,offset_x,offset_y,distance_pixels,flux,significance
832,378,832,378,0,0,0.0,1499.5553361745344,230.9366036534899
878,903,878,903,0,0,0.0,1469.1129432773987,226.248371980303
259,833,259,833,0,0,0.0,1437.2947693937692,221.34826537277607
509,453,509,453,0,0,0.0,1244.416739798243,191.64439516562527
142,153,142,153,0,0,0.0,1233.4949865494532,189.96240815229413
321,230,321,230,0,0,0.0,1190.0708053773408,183.27493709043685
659,176,659,176,0,0,0.0,1012.3564942190737,155.9063309113495
594,228,594,228,0,0,0.0,710.2953944383669,109.3878978822963
